Dimension A,Dimension B,Required pairs,Covered pairs,Coverage %,Minimum cell count,Maximum cell count,Missing pairs
Output type,Governing relation,25,25,100.0,1,3,
Output type,Temporal structure,15,15,100.0,1,5,
Output type,Information condition,20,20,100.0,1,4,
Output type,Primary review objective,30,30,100.0,1,2,
Output type,Artifact medium,30,30,100.0,1,2,
Output type,Domain source,15,15,100.0,1,4,
Governing relation,Temporal structure,15,15,100.0,1,5,
Governing relation,Information condition,20,20,100.0,1,4,
Governing relation,Primary review objective,30,30,100.0,1,2,
Governing relation,Artifact medium,30,30,100.0,1,2,
Governing relation,Domain source,15,15,100.0,1,4,
Temporal structure,Information condition,12,12,100.0,1,5,
Temporal structure,Primary review objective,18,18,100.0,1,3,
Temporal structure,Artifact medium,18,18,100.0,1,4,
Temporal structure,Domain source,9,9,100.0,3,6,
Information condition,Primary review objective,24,24,100.0,1,3,
Information condition,Artifact medium,24,24,100.0,1,3,
Information condition,Domain source,12,12,100.0,2,4,
Primary review objective,Artifact medium,36,36,100.0,1,1,
Primary review objective,Domain source,18,18,100.0,1,3,
Artifact medium,Domain source,18,18,100.0,1,3,
